계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
종교학,일반선택,"인간과 종교의 관계, 다양한 종교 공동체의 문화와 가치 지향, 사회와 종교의 관계 등을 이해하고, 종교와 윤리, 종교와 사회 정의, 종교 간 차이와 차별의 구분 등의 문제를 다각도로 탐색하여 그 결과를 실천할 수 있는 성찰적 안목과 태도를 기르는 데 목적을 둔다. ",수능 출제 과목 아님,"사회복지사, 심리상담사, 기독교교리상담사, 교회교육상담사 등","기독교학과, 불교학과, 신학과, 윤리학과, 종교학과, 선교학과, 철학과 등","신부, 교무(원불교), 목사, 수녀, 승려, 전도사, 인문 계열 교수, 출판물 기획자, 기자, 연출가 등",다양한 종교 현상에 관해 다각도로 질문하고 다층적으로 사유해보는 기회를 가질 수 있다.,"● 인간과 종교 (종교의 의미, 종교의 역할, 종교 자유와 통념)
● 종교의 구성 (경전과 교리, 종교 의례, 종교 공동체)
● 종교의 세계관 (종교의 인간관, 종교의 역사관, 종교의 자연관)
● 종교 전통과 문화유산 (세계의 종교, 한국의 종교, 종교와 문화의 다양성)
● 현대 사회와 종교 (종교와 다종교 사회, 종교와 인권, 종교와 생명·과학, 종교와 다문화사회)
● 개별 종교들의 이해 (주요 교리와 규범, 사회·문화적 실천, 종교인의 삶과 태도)",P로 평가 (P : 이수)
진로와 직업,일반선택,"자신에 대한 이해를 바탕으로 진로를 합리적으로 결정하고, 결정한 진로를 계획적으로 준비할 수 있는 능력을 함양하도록 하는 데 목적을 둔 과목이다. ",수능 출제 과목 아님,진로진학상담교사자격증 등,없음,없음,학생이 고등학교 졸업 전 선택해야 할 진로 진학의 문제를 앞서 생각하고 준비함으로써 대학 진학이나 졸업 후 취업 뿐 아니라 앞으로 평생의 삶에서 자신의 진로를 준비하고 대응하기 위해 배울 필요가 있는 과목이다.,"● 자아 이해와 사회적 역량 개발 (자아 이해 및 긍정적 자아 개념 형성, 대인 관계 및 의사 소통 역량 개발)
● 일과 직업 세계의 이해 (변화하는 직업 세계 이해, 건강한 직업의식 형성)
● 진로 탐색 (교육 기회의 탐색, 직업 정보의 탐색)
● 진로 디자인과 준비 (진로의사 결정 능력 개발, 진로 설계와 준비)",P로 평가 (P : 이수)
보건 ,일반선택,"일상생활에서 건강 생활을 실천하고, 건강관리 능력을 증진시킴으로써 개인과 공동체의 건강 및 삶의 질을 향상시키기 위한 과목이다.",수능 출제 과목 아님,"보건 교사 자격증, 간호사자격증, 의무기록사 자격증 등","간호학과, 보건행정학과, 임상병리학과, 물리치료학과, 치위생과 등 보건 관련학과","간호사, 보건 교사, 임상병리사, 물리치료사, 치위생사, 운동 처방사 등 보건관련 직업","건강에 영향을 미치는 요인에 적절히 대처하며 올바른 건강 관리 방법을 실생활에 적용하는 능력과 건강한 사회·문화의 가치와 제도, 정책들을 개선·변화시킬 수 있는 공동체 건강 의식의 향상에 중점을 두는 과목이다.","● 건강의 이해와 질병예방 (건강 증진, 생활 주기, 질병 예방)
● 생활 속의 건강한 선택 (약물·담배·술, 성 건강, 정서·정신 건강, 건강 생활 기술)
● 안전과 응급 처치 (생활 안전, 응급 처치)
● 건강 자원과 사회 문화(건강권과 건강 자원, 건강 문화)",P로 평가 (P : 이수)
환경,일반선택,"인류가 경험하고 있는 지속불가능성의 확산과 환경위기에 대한 문제의식을 바탕으로, 학생들이 지속가능한 사회의 체계와 삶의 양식을 이해하고 실천하도록 돕기 위한 과목이다. ",수능 출제 과목 아님,"기상예보기술사, 대기관리기술사, 수질관리기사, 수질환경산업기사, 토양환경기사 등","바이오환경학과, 보건환경과학과, 사회환경공학과, 사회환경시스템공학과, 환경공학과 등과, 치위생과 등 보건 관련학과","기후변화 전문가, 대기환경 기술자, 도시 계획 및 설계가, 환경영향 평가원, 환경공학자 등","환경 감수성, 환경 공동체 의식, 성찰·통찰 능력, 창의적 문제해결력, 의사소통 및 갈등해결 능력, 환경 정보 활용 능력 등의 역량을 기르는 데 중점을 두고 있어, 인문, 사회 예술분야에 관심 있는 학생에게도 유익한 과목이다.","● 환경과 인간 (환경관, 환경 윤리, 환경 체험)
● 환경의 체계 (환경 체계의 구성, 생태계, 환경과 사회 체계, 생태계와 사회 체계의 상호 작용)
● 환경 탐구 (환경 사례 심층 탐구, 생활 주제 환경 탐구, 환경 프로젝트)
● 지속 가능한 사회 (지속 가능한 사회 체계, 지속 가능한 삶의 양식)",P로 평가 (P : 이수)
실용 경제,일반선택,"일상의 경제생활에 필요한 기초적이고 실천적인 경제 지식을 습득하여, 당면한 개인 및 사회의 경제 문제를 합리적으로 해결할 수 있는 능력을 함양하고 경제생활에 능동적으로 참여하는 민주 시민을 양성하는 과목이다.",수능 출제 과목 아님,"공인회계사, 관세사, 세무사, 감정평가사, 공인노무사, 보험계리사, 보험중개사, 손해사정사, 유통관리사, 무역영어, 전자상거래관리사, 전자상거래운용사, 판매관리사, 세무회계사 등","경제학과, 경영학과, 무역학과, 회계학과, 관광경영학과, 국제통상학과, 금융 보험학과, 농업경제학과, 보건행정학과, 부동산학과, 세무학과, 소비자학과 등","세무회계 사무원, 회계 담당자, 금융 감독 사무원, 여신 심사원, 주식 중개인, 은행텔러, 해외 영업원, 보험 설계사, 이코노미스트, 주식투자 분석가, 신용평가사, 감정평가사, 경제학 연구원, 공인회계사, 세무사, 경영 컨설턴트, 무역 사무원 등","실생활에서 취업 정보 습득 방안, 창업 방법과 절차를 이해하고 노후 생활에 대비할 수 있는 문제 해결력과 정보 활용 능력을 기를 수 있으며, 대학 진학 이후에도 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 데 도움이 되는 과목이다.","● 개인과 국가의 경제 생활 (비용, 편익, 경제 주체)
● 소득과 소비 (소득, 예산, 합리적 선택)
● 저축과 투자와 보험 (생애 주기, 저축, 투자, 보험)
● 부채와 신용 (부채, 신용, 채무자)
● 취업과 창업 (진로, 창업)",P로 평가 (P : 이수)
논술,일반선택,"다양한 교과 학습 및 독서 활동 등을 통해 학습한 분과 학문적 지식을 통합하여 논리적·비판적 사고력, 의사소통 능력 등을 기르는 과목이다. ",수능 출제 과목 아님,"논술지도사, 독서지도사, 사회조사분석사 등",없음,없음,"합리적 설득과 학문적 탐구에 필요한 의사소통 능력, 비판적 사고력 및 문제 해결력을 함양하고 그에 기반하여 개별 교과의 심화 학습 및 교과 통합적 학습 능력 배양, 논술문 작성에 필요한 자료 활용법 습득, 학습 윤리 함양에 도움을 주는 과목이다.","● 논술과 비판적 사고 (논술의 정의, 논술의 기능, 논술과 비판적 사고)
● 분석적 글쓰기 (분석글의 성격과 유형, 단순 요약 지침과 적용, 논증적 요약 지침과 적용, 분석적 글쓰기의 표현 전략)
● 비판적 글쓰기 (비판글의 성격과 유형, 비판글 쓰기 지침과 적용, 대안 모색 및 제시 방법, 비판적 글쓰기의 표현 전략)
● 문제 해결적 글쓰기 (문제 해결적 글의 성격과 유형, 논술문 작성을 위한 탐구 과정, 논술문 작성 과정, 논술문의 퇴고와 수정)",P로 평가 (P : 이수)
사회적 경제,일반선택,"사회적 경제의 의미와 특성을 경쟁과 효율성 등의 시장 경제적 원리와 상호 보완적인 관계 속에서 체계적으로 이해하고, 사회적경제의 다양한 형태를 보여주는 조직들을 조직하고 운영하는 원리에 대한 실천적 탐구 방법을 익히며, 협동과 호혜, 이타주의, 공정성 등 공동체적 문제 해결에 필요한 가치관과 역량, 실천적 자세를 기르는 데 목적을 둔다. ",수능 출제 과목 아님,,"경제학과, 사회복지학과, 사회학과, 유통경영정보학과, 재무경제학과, 행정경제학부, 환경자원경제학과 등","사회복지사, 사회 단체 활동가, 경제학 연구원, 공무원 등","시장과 정부의 경제활동에서 해결하기 어려운 부분을 시민들이 자발적으로 연대하고 서로 협력하여 이를 해결해나갈 수 있는 능력을 기르기 위한 삶의 성찰, 교과 지식의 통합적 이해를 통해 인간의 삶에 대해 심도 있게 고민해보는 기회를 가지고자 하는 학생들을 위한 과목이다.","● 사회적 경제와 공통체(시장경제, 사회적 경제의 의미, 경쟁, 효율성, 협동, 호혜, 이타주의 공정성, 사회적 가치, 공동체)
● 사회적 기업(사회적 기업의 의미, 이윤 추구, 공익적 목적, 사회적 기업의 유형, 사회적 금융)
● 협동조합(협동조합의 개념, 협동조합의 유형, 학교 협동조합의 설립)
● 마을 기업과 자활 기업(마을 기업의 믜미, 마을 기업의 유형, 호혜적 관계, 자활 기업의 의미)
● 공정 무역과 공유 경제(국제 무역, 공정 무역의 등장, 공정 무역 원칙, 공유 경제, 공유 경제 기업)",P로 평가 (P : 이수)
호모 스토리텔리쿠스,일반선택,앞으로 다가올 미래사회에 필요한 다양한 지식과 정보를 연결하여 새로운 의미와 가치 있는 이야기를 창출하는 ‘통섭적 스토리텔링’ 능력의 함양을 위한 과목이다.,수능 출제 과목 아님,,"광고홍보학과, 미디어커뮤니케이션학과, 문예창작과, 문화콘텐츠학과, 커뮤니케이션디자인학과 등","작가, 상담 전문가, 카피라이터, 평론가, 큐레이터, 게임그래픽디자이너, 만화가, 제품 디자이너, 학예사 등","인공지능 시대를 맞아 이야기하기를 삶의 실천적 능력으로써 재정립하여, 자신만의 스토리텔링으로 구성하고 자신이 이야기하고자 하는 바를 다른 사람들에게 효과적으로 전달할 수 있는 역량을 키우고자 하는 학생을 위한 과목이다. ","● 스토리텔링에 대한 이해(스토리텔링 능력, 자신과 친구의 삶 스토리텔링, 스토리텔링으로 본 인류의 역사. 스토리텔링 구조와 방법)
● 스토리텔링 사례 분석과 개별실습(신화와 스토리텔링, 문학과 스토리텔링, 영화와 스토리텔링, 문학-영화 통섭적 스토리텔링, 역사-영화 통섭적 스토리텔링, 예술가와 스토리텔링, 체육과 스토리텔링, 미래사회와 스토리텔링
● 스토리텔링 창작 실습(내 일상의 스토리텔링, 내 영화 스토리텔링, 내 삶의 스토리텔링)",P로 평가 (P : 이수)
민주시민,일반선택,"우리사회가 지향하는 민주주의의 가치와 민주시민으로서의 권리 및 의무를 이해하고, 이를 바탕으로 공동체 구성원들과 더불어 행복한 삶을 영위할 수 있는 자세를 기르고자 하는 과목이다. ",수능 출제 과목 아님,,"철학과, 정치학과, 언론학과, 경제학과, 사회학과, 사회복지학과 등","사회 단체 활동가, 기자, 언론인, 환경운동가 등",협력적인 민주시민교육을 효과적으로 학습하고 창의적인 민주시민의 역량을 길러 사회적 실천을 통해 공동체와 자기 자신을 함께 변화시킬 수 있는 시민이 되고자 하는 학생을 위한 과목이다.,"● 인권과 시민(청소년, 인권, 기본권, 권리 제한, 인권, 법, 자유, 국가의 의무, 시민의 의무)
● 다양성과 차이(다양한 가족, 장애인에 대한 인식, 다른 인종에 대한 인식)
● 공감과 연대(공감과 자발성, 타인을 배려하는 소비, 사회적 연대와 국가적 차원으로서의 복지, 지구촌 차원의 공감과 연대)
● 자연과 환경(에니 위기와 에너지 정책, 식량 위기와 식량 정책, 인간과 자연의 공존)
● 평화와 공존(폭력의 이해, 평화를 지키는 방식, 갈등의 평화적 해결)
● 민주주의와 참여(민주주의 과제, 투표와 참여, 시민의 참여, 시민 단체, 의사 결정 방법, 부패와 청렴 사회)
● 노동과 경제(노동의 가치, 노동시장의 유연성, 노동자와 책임, 기업과 사회 책임)
● 언론과 미디어(미디어의 속성, 언론인의 윤리, 표현의 자유, 언론의 공공성, 알 권리와 사생활 보호)",P로 평가 (P : 이수)
세계시민,일반선택,"빈곤과 불평등, 전쟁과 난민, 환경 오염 등 전 지구적 문제를 해결하기 위해서 우리 사회가 지향해야 하는 공공성과 다양성, 평화의 가치를 이해하고, 공동체 구성원들과 더불어 행복한 삶을 영위할 수 있는 능력을 기르고자 하는 과목이다.",수능 출제 과목 아님,,"철학과, 정치학과, 언론학과, 경제학과, 사회학과, 사회복지학과 등","사회 단체 활동가, 기자, 언론인, 환경운동가 등","여러 세계 이슈를 이해하고, 어려움을 공감하고, 그 어려움을 해결하는 데 기여할 수 있는 행동을 실천하는 능력을 기르고자 하는 학생을 위한 과목이다. ","● 세계시민의 이해(세계화 시대의 세계시민, 세계시민의 의미와 역할)
● 세계시민의 과제(환경과 에너지, 문화 다양성과 다문화 사회, 경제적 불평등, 전쟁과 평화, 그리고 인간 안보)
● 미래를 여는 세계시민(새천년 개발 목표와 지속 가능 발전 목표, 지속 가능한 발전과 국제기구, 미래를 위한 세계시민의 협력)",P로 평가 (P : 이수)
문학적 감성과 상상력,일반선택,"문학적 감성과 상상력의 계발을 통해 나와 나를 둘러싼 세계를 이해하고 성찰하는 능력을 기르고, 타자와 소통하고 연대함으로써 세계에 능동적으로 참여하는 자세를 기르고자 한다. ",수능 출제 과목 아님,,"문예창작과, 국어국문학과, 국어교육학과, 영어영문학과, 불어불문학과, 독어독문학과, 노어노문학과, 중어중문학과, 일어일문학과, 통번역학과 등","시인, 소설가, 극작가, 방송작가, 영화 시나리오 작가, 평론가, 인문사회 계열 교수, 언론인, 중등교사, 언어학 연구원, 출판물 편집자, 카피라이터, 프로듀서, 통역사 등","문학 작품의 수용·생산 활동을 통해 문학 감상 및 창작 능력을 기르고, 문학의 본질과 양상에 대한 이해를 심화하며, 타인 및 세계와 소통하며 자아를 성찰하고 문학문화의 발전에 기여하고자 하는 학생을 위한 과목이다.","● 나와 마주하다 (나는 누구인가? 나는 앞으로 어떻게 살 것인가? 나는 내가 원하는 삶은 만들 수 있는가?
● 타자와 만나다(혼자 사는 것이 더 자유로운가? 삶의 다양한 모습을 통해 타자의 삶을 이해할 수 있는가? 나와 타자는 어떻게 관계 맺고 있는가?
● 문학을 넘나들다(문학이란 무엇인가? 진정한 문학 활동은 무엇인가? 문학을 통해 문학 능력이 효과적으로 신장할 수 있는가?)",P로 평가 (P : 이수)
인문학적 상상여행,일반선택,"청소년들이 지금까지 교과별로 흩어져 있는 지식들의 근거와 자기 삶의 의미를 성찰하고, 자아 정체성과 시민적 연대의 관점에서 타인의 삶을 이해하여 공동의 삶을 살아가는 역량을 키우는 데 목적을 둔다. ",수능 출제 과목 아님,,"문예창작과, 국어국문학과, 영어영문학과, 철학과, 사학과역사콘텐츠학과, 아시아문화학부 등","시인, 소설가, 극작가, 평론가, 인문사회 계열 교수, 역사학자, 인문과학 연구원 등","스스로 자신의 삶을 성찰하고, 교과 지식을 통합적으로 이해하여 자신의 삶과 교과의 문제들을 철학적으로 파악하고 탐구하고자 하는 학생을 위한 과목이다.","● 인문학(인문학이란 무엇인가? 인문학에서 만나는 사람들의 삶과 이상, 인문학에서 만나는 다양한 세계의 비전과 해석)
● 문학(본질적 자아를 추구하는 문학의 형상화, 문학을 통한 인문학적 사색)
● 역사(사마천, 그의 불행한 초상화, 역사와 설화가 어우러진 '삼국유사'
● 철학(철학이 빚어내는 삶의 지혜, 다양한 삶과 만나는 상상여행, 세상을 변화시킨 철학자들)
● 예술(인간의 삶과 음악, 참된 자기 존재로의 해방, 거울에 비친 한국인의 모습)",P로 평가 (P : 이수)
생활과 창의성,일반선택,"스마트 시대로 변화하는 미래 환경의 개념을 이해하고, 사례를 통해 창의적 사고를 체험함으로써 기업가적 역량에 필요로 한 혁신성과 인지적 능력의 함양을 목적으로 하는 과목이다. ",수능 출제 과목 아님,,"경영학과, 경영정보과, 국제경영 및 통상학과, 산업경영학과, 산업공학과 등","경영 컨설턴트, IT컨설턴트, 브랜드 매니저, 마케팅 전문가, 전자상거래전문가, 지식재산권 전문가 등","창의적 사고에 대한 이해와 습득을 통해 창의적 기법을 함양하고, 창의적 사고 문제 발견과 분석 및 해결 방법을 기르고자 하는 학생을 위한 과목이다.","● 창의적 사고의 이해(미래 환경의 변화, 창의적 사고의 의미, 창의적 사고의 체험)
● 창의적 사고와 경제 생활(창의적 사고와 기업 경영, 생활 속의 창의성, 창의적 사고의 분석)
● 창의적 사고의 적용(창의적 사고의 유형, 창의적 사고의 접근, '인터뷰/관찰', 창의적 사고 통합
● 창의적 사고의 방법(창의적 의사 결정 과정, 창의적 사고의 토대, 창의적 사고의 방법)",P로 평가 (P : 이수)
제2외국어Ⅰ,일반선택,"독일어Ⅰ, 프랑스어Ⅰ, 스페인어Ⅰ, 중국어Ⅰ, 일본어Ⅰ, 러시아어Ⅰ, 아랍어Ⅰ, 베트남어Ⅰ이 있음. 과목의 학습을 통해 외국어 의사소통 능력뿐만 아니라, 건전한 세계 시민 의식과 정보 검색 및 활용 능력을 계발할 수 있고 다양한 사고와 문화를 경험함으로써 자신의 언어와 문화도 되돌아볼 수 있는 기회를 가질 수 있다. ",수능 선택,해당 언어 평가 시험 등,"독어독문학과, 독어과, 독어교육과, 불어불문학과, 불어과, 불어교육과, 서어서문학과, 스페인어과, 중어중문학과, 중국어과, 중국어교육과, 일어일문학과, 일어과, 일어교육과, 노어노문학과, 러시아어과, 아랍어과, 베트남어과 등 ","지역학 전문가, 교사, 무역 관련 종사자 등",해당 언어 관련 국가의 역사와 문화도 같이 공부하여 국제기구 활동의 진로나 국제적인 문제에 관심이 많은 학생에게 권장되는 과목이다. 관련 어문계열 진학이나 국제 관련 활동에 관심 있는 학생에게 필요하다.,"● 언어적 영역 (각 언어의 발음 및 철자어휘, 각 언어의 문법·의사소통·표현)
● 문화적 영역 (각 언어 관련 문화)",성취도 5단계/등급 산출
제2외국어Ⅱ,진로선택,"독일어Ⅱ, 프랑스어Ⅱ, 스페인어Ⅱ, 중국어Ⅱ, 일본어Ⅱ, 러시아어Ⅱ, 아랍어Ⅱ, 베트남어Ⅱ가 있다. 'Ⅱ'는 'Ⅰ'에서 해당 언어와 관련해서 습득한 기초적인 의사소통 능력을 확장/심화시키며, 세계 시민으로 성장하는 데 필요한 기본 역량을 심화시킬 수 있는 과목이다. ",수능 출제 과목 아님,해당 언어 평가 시험 등,"독어독문학과, 독어과, 독어교육과, 불어불문학과, 불어과, 불어교육과, 서어서문학과, 스페인어과, 중어중문학과, 중국어과, 중국어교육과, 일어일문학과, 일어과, 일어교육과, 노어노문학과, 러시아어과, 아랍어과, 베트남어과 등","지역학 전문가, 교사, 무역 관련 종사자 등",제2외국어Ⅰ 과목에서의 기초적인 관심을 확장하는 데 필요한 과목으로 해당 어문계열로 진학하려는 학생에게 권장된다. 해당 언어관련 나라의 지역학과나 어문학과에 진학하려는 학생에게 도움이 된다.,"● 언어적 영역 (각 언어의 발음 및 철자어휘, 각 언어의 문법·의사소통·표현)
● 문화적 영역 (각 언어 관련 문화)",성취도 3단계/등급 미산출
한문Ⅰ,일반선택,"한문에 대한 기초적인 지식을 익혀 한문 독해와 언어생활에 활용하며, 한문 자료를 비판적으로 이해하고 심미적으로 향유할 수 있는 능력을 기를 수 있고, 한자문화권의 문화에 대한 기초적인 지식을 익혀 한자문화권 내에서의 상호 이해와 교류를 증진시키는 데 기여할 수 있는 과목이다.",수능 선택,없음,"법학과, 행정학과, 국어국문학과, 동양어관련 학과, 철학과, 국사학과, 고고학과, 한문교육과, 한의예과 등","인문학 관련 교수, 한문 교사 등",법이나 행정 등 한자어를 많이 사용하는 학과 진로 생각하는 학생에게 도움이 되는 과목이다.,"● 한문의 이해 (한자와 어휘, 한문의 독해)",성취도 5단계/등급 산출
한문Ⅱ,진로선택,"중고등학교 한문 교육용 기초 한자 1,800자의 학습 성과를 바탕으로 보다 확장된 한자를 중심으로 한문에 대한 기초적인 지식을 익혀 한문 독해와 언어생활에 활용하며, 한문 자료를 이해하고 향유할 수 있는 능력을 기르기 위한 과목이다.",수능 출제 과목 아님,없음,"법학과, 행정학과, 국어국문학과, 동양어관련 학과, 철학과, 국사학과, 고고학과, 한문교육과, 한의예과 등","인문학 관련 교수, 한문 교사 등",법이나 행정 등 한자어를 많이 사용하는 학과 및 한자문화권 심화 진로를 생각하는 학생에게 유용한 과목이다.,"● 한문의 이해 (한자와 어휘, 한문의 독해)
● 한문의 활용 (한자 어휘와 언어생활, 한문과 인성, 한문과 문화)",성취도 3단계/등급 미산출

과목명,선택영역,특성
건축 일반,전문교과Ⅱ,건축 일반에 대하여 기본적인 지식부터 현장 실무적인 내용까지 체계적으로 구성된 이론 과목이다.
공업 일반,전문교과Ⅱ,"공업에 대한 일반적인 지식과 기술을 습득하고, 공업 기술인으로서 갖추어야 할 태도와 가치관을 가질 수 있도록 구성된 과목으로 과목이다."
건축 일반,전문교과Ⅱ,건축 일반에 대하여 기본적인 지식부터 현장 실무적인 내용까지 체계적으로 구성된 이론 과목이다.
기업과 경영,전문교과Ⅱ,"NCS 실무 과목의 선수 과목으로서 경영/금융 교과군의 학생들이 기업이나 조직 경영에 관한 기본적인 개념과 원리를 습득하여 장차 직업인이 되었을 때의 업무 수행 능력, 대인 관계 능력, 조직 이해 능력 등을 함양할 수 있는 과목이다. "
비즈니스 영어,전문교과Ⅱ,"실제 비즈니스 상황에서 일어날 수 있는 영어 회화와 거래를 성사시키기 위해 필요한 표현을 익히고, 무역에서 활용 가능한 각종 양식의 이해 및 실제 작성을 통해 실무 능력을 배양하여 국제적인 비즈니스 감각을 익히고 활용하는 데 중점을 두는 과목이다."
금융 일반,전문교과Ⅱ,금융에 관한 기본적인 개념과 원리를 이해하고 금융 관련 기관의 취업을 위해 실제 업무를 수행하는 데 필요한 지식과 기능을 습득하여 고객 서비스 활동을 효율적으로 수행하기 위한 능력과 태도를 기르는 과목이다.
창업 일반,전문교과Ⅱ,"창업을 위한 여러 가지 절차와 세무 처리 방법 및 사업 계획서 작성 능력 등을 함양하여, 기업가로서 경영 활동을 능동적으로 수행할 수 있는 능력과 태도를 기르는 과목이다."
마케팅과 광고,전문교과Ⅱ,"마케팅과 광고는 기업의 성장을 이끌어 내는 핵심 활동이며, 환경 변화에 맞는 새로운 전략으로 고객 가치를 창출하고 소비자의 욕구를 충족시켜 기업의 경영 성과를 높이는 능력을 함양할 수 있는 과목이다."
커뮤니케이션,전문교과Ⅱ,"효과적인 대화의 기술과 프레젠테이션 기술을 익혀 직업 능력 향상과 더불어 커뮤니케이션을 효과적으로 수행할 수 있는 자질을 길러, 올바른 직업관과 미래 지향적인 직업 의식 함양을 위한 수행 능력과 태도를 기르는 과목이다."
심화 수학Ⅰ,전문교과Ⅰ,"'수학'을 학습한 후에 선택할 수 있는 전문 교과 과목으로 '수학Ⅰ', '수학Ⅱ', '미적분'의 주요 내용을 압축하고 심화한 과목으로 자연과학, 공학, 의학 및 이들의 응용분야를 전공하는데 학문적 기초가 되며, 창의융합인재로서 기반 제공을 위해 지식이해 및 습득, 문제해결력, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천의 역량을 함양하는 과목이다."
심화 수학Ⅱ,전문교과Ⅰ,"'수학'과 '심화 수학Ⅰ'을 학습한 후에 선택할 수 있는 전문 교과 과목으로 '수학I', '수학Ⅱ', '미적분'의 주요 내용을 압축하고 심화한 과목으로 자연과학, 공학, 의학 및 이들의 응용분야를 전공하는데 학문적 기초가 되며, 창의융합인재로서 기반 제공을 위해 지식이해 및 습득, 문제해결력, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천의 역량을 함양하는 과목이다."
고급 수학Ⅰ,전문교과Ⅰ,"전문 교과Ⅰ인 '심화 수학Ⅰ'과 '심화 수학Ⅱ'를 학습하거나 이들 과목에 포함된 내용을 다루는 수학 일반 선택과 진로 선택 과목을 학습한 후에 선택할 수 있는 전문 교과 과목으로 '심화수학Ⅰ', '심화수학Ⅱ'의 내용을 심화·발전시킨 것이다. 자연과학, 공학, 의학 및 이들의 응용분야를 전공하는데 학문적 기초가 되며, 창의융합인재로서 기반 제공을 위해 지식이해 및 습득, 문제해결력, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천의 역량을 함양하는 과목이다."
고급 수학Ⅱ,전문교과Ⅰ,"전문 교과Ⅰ인 '고급 수학Ⅰ'을 학습한 후 선택할 수 있는 전문 교과 과목으로, '심화수학Ⅰ', '심화 수학Ⅱ', '고급 수학Ⅰ'의 내용을 심화·발전시킨 것으로, 자연과학, 공학, 의학 및 이들의 응용분야를 전공하는데 학문적 기초가 되며, 창의융합인재로서 기반 제공을 위해 지식이해 및 습득, 문제해결력, 추론, 창의·융합, 의사소통, 정보처리, 태도 및 실천의 역량을 함양하는 과목이다."
고급 물리학,전문교과Ⅰ,과학기술과 관련된 전공 분야로 진출하는데 필요한 물리학의 내용을 체계적으로 이해하며 심화된 물리학의 학문적 체계 및 내용을 학습하기 위한 과목이다.
고급 화학,전문교과Ⅰ,"심화된 화학 개념과 탐구 원리를 통해 물질의 구조, 성질, 변화에 대한 체계적 이해를 도모하여 일상생활의 문제뿐만 아니라 장차 자연과학과 공학 분야에서 물질에 대한 탐구를 과학적으로 수행하는 능력을 기르기 위한 과목이다."
고급 생명과학,전문교과Ⅰ,"최신의 생명과학을 접하고, 더욱 전문적인 생명과학 개념을 분자적 수준에서 통합적으로 이해하며, 관심 있는 생명과학의 주제에 대해 과학적으로 탐구하는 능력을 길러 앞으로의 연구 분야에 생명과학의 지식을 활용할 수 있도록 준비하는 과목이다."
